"Iteration", "Perturbation", "Bytes","Throughput (Mbps)","Time (s)"
4,4,13,10.390315,0.00000955
4,4,16,13.465586,0.00000907
4,4,19,15.299165,0.00000947
4,4,21,16.832959,0.00000952
4,4,24,18.992691,0.00000964
4,4,27,22.132064,0.00000931
4,4,29,23.323701,0.00000949
4,4,32,25.796681,0.00000946
4,4,35,28.695140,0.00000931
4,4,45,37.637123,0.00000912
4,4,48,39.459308,0.00000928
4,4,51,41.482128,0.00000938
4,4,61,49.150254,0.00000947
4,4,64,51.455892,0.00000949
4,4,67,57.379207,0.00000891
4,4,93,75.135502,0.00000944
4,4,96,78.615171,0.00000932
4,4,99,82.782356,0.00000912
4,4,125,99.654896,0.00000957
4,4,128,104.749382,0.00000932
4,4,131,108.305614,0.00000923
4,4,189,157.562368,0.00000915
4,4,192,154.719668,0.00000947
4,4,195,158.245396,0.00000940
4,4,253,204.497909,0.00000944
4,4,256,206.878193,0.00000944
4,4,259,206.439920,0.00000957
4,4,381,310.556584,0.00000936
4,4,384,309.485727,0.00000947
4,4,387,317.444632,0.00000930
4,4,509,409.486401,0.00000948
4,4,512,416.142518,0.00000939
4,4,515,418.837341,0.00000938
4,4,765,646.688448,0.00000903
4,4,768,608.682783,0.00000963
4,4,771,629.607911,0.00000934
4,4,1021,807.105343,0.00000965
4,4,1024,812.821121,0.00000961
4,4,1027,827.828168,0.00000946
4,4,1533,1153.836857,0.00001014
4,4,1536,1181.733285,0.00000992
4,4,1539,1164.790170,0.00001008
4,4,2045,1542.449029,0.00001012
4,4,2048,1571.694456,0.00000994
4,4,2051,1579.328089,0.00000991
4,4,3069,2296.976341,0.00001019
4,4,3072,2413.006424,0.00000971
4,4,3075,2370.443858,0.00000990
4,4,4093,3059.871477,0.00001021
4,4,4096,3053.586737,0.00001023
4,4,4099,3113.916522,0.00001004
4,4,6141,4361.226093,0.00001074
4,4,6144,4428.799349,0.00001058
4,4,6147,4691.167402,0.00001000
4,4,8189,5737.618875,0.00001089
4,4,8192,5729.862117,0.00001091
4,4,8195,5909.267123,0.00001058
4,4,12285,8091.610968,0.00001158
4,4,12288,8369.423043,0.00001120
4,4,12291,8034.888972,0.00001167
4,4,16381,10007.854132,0.00001249
4,4,16384,10189.493415,0.00001227
4,4,16387,10086.472968,0.00001240
4,4,24573,13589.948923,0.00001380
4,4,24576,13457.207141,0.00001393
4,4,24579,13544.210271,0.00001385
4,4,32765,16034.115477,0.00001559
4,4,32768,15948.396673,0.00001568
4,4,32771,16244.541418,0.00001539
4,4,49149,18186.689464,0.00002062
4,4,49152,18529.061488,0.00002024
4,4,49155,18455.054033,0.00002032
4,4,65533,18353.310742,0.00002724
4,4,65536,18375.383704,0.00002721
4,4,65539,18483.585254,0.00002705
4,4,98301,23225.291702,0.00003229
4,4,98304,23407.579118,0.00003204
4,4,98307,23378.162564,0.00003208
4,4,131069,26797.084715,0.00003732
4,4,131072,26645.979295,0.00003753
4,4,131075,26679.054309,0.00003748
4,4,196605,30715.019603,0.00004884
4,4,196608,30629.880535,0.00004897
4,4,196611,30727.667460,0.00004882
4,4,262141,30543.579637,0.00006548
4,4,262144,30832.967963,0.00006487
4,4,262147,30730.557991,0.00006508
4,4,393213,35168.060266,0.00008530
4,4,393216,35178.372580,0.00008528
4,4,393219,35175.430096,0.00008529
4,4,524285,38627.974992,0.00010355
4,4,524288,38470.334114,0.00010398
4,4,524291,38795.957914,0.00010310
4,4,786429,40482.768042,0.00014821
4,4,786432,40246.817413,0.00014908
4,4,786435,40079.331748,0.00014970
4,4,1048573,41760.570213,0.00019157
4,4,1048576,41706.642436,0.00019182
4,4,1048579,41692.703113,0.00019188
4,4,1572861,42206.888331,0.00028431
4,4,1572864,42474.653857,0.00028252
4,4,1572867,42416.013426,0.00028291
4,4,2097149,39887.455008,0.00040113
4,4,2097152,40122.559744,0.00039878
4,4,2097155,40143.756475,0.00039857
4,4,3145725,29053.139059,0.00082607
4,4,3145728,29113.632578,0.00082436
4,4,3145731,27629.539500,0.00086864
4,4,4194301,22171.134780,0.00144332
4,4,4194304,22616.966690,0.00141487
4,4,4194307,22626.937942,0.00141424
4,4,6291453,24125.982169,0.00198956
4,4,6291456,23945.768932,0.00200453
4,4,6291459,23940.344285,0.00200498
4,4,8388605,24065.814560,0.00265937
4,4,8388608,24034.810894,0.00266280
4,4,8388611,24055.879677,0.00266047
4,4,12582909,24424.516949,0.00393048
4,4,12582912,24309.576155,0.00394906
4,4,12582915,24389.279162,0.00393616
4,4,16777213,24037.870592,0.00532493
4,4,16777216,23945.655656,0.00534544
4,4,16777219,23900.177190,0.00535561
5,5,1,0.796547,0.00000958
5,5,2,1.665499,0.00000916
5,5,3,2.513996,0.00000910
5,5,4,3.268721,0.00000934
5,5,6,4.766099,0.00000960
5,5,8,6.529332,0.00000935
5,5,12,10.159365,0.00000901
5,5,13,11.223493,0.00000884
5,5,16,13.163820,0.00000927
5,5,19,15.502445,0.00000935
5,5,21,16.701519,0.00000959
5,5,24,20.728701,0.00000883
