"Iteration","Time","Throughput (bps)","Bits","Bytes","Variance","Iteration","Time","Throughput (bps)","Bits","Bytes","Variance"
3,0.000005,2303.259949,12288,1536,0.000000,3,0.000011,1073.792862,12288,1536,0.000000
4,0.000005,2492.209487,12288,1536,0.000000,4,0.000011,1081.403570,12288,1536,0.000000
5,0.000006,2107.768591,12288,1536,0.000000,5,0.000011,1053.257143,12288,1536,0.000000
1,0.000005,2223.708028,12312,1539,0.000000,1,0.000011,1089.652587,12312,1539,0.000000
2,0.000005,2327.702780,12312,1539,0.000000,2,0.000011,1075.548330,12312,1539,0.000000
3,0.000006,2103.806779,12312,1539,0.000000,3,0.000011,1071.538274,12312,1539,0.000000
4,0.000006,2088.128595,12312,1539,0.000000,4,0.000011,1095.459515,12312,1539,0.000000
5,0.000005,2229.870964,12312,1539,0.000000,5,0.000011,1073.500525,12312,1539,0.000000
1,0.000005,3369.629900,16360,2045,0.000000,1,0.000011,1402.926676,16360,2045,0.000000
2,0.000006,2802.642552,16360,2045,0.000000,2,0.000011,1384.889563,16360,2045,0.000000
3,0.000005,3347.324839,16360,2045,0.000000,3,0.000011,1371.730302,16360,2045,0.000000
4,0.000004,3550.610752,16360,2045,0.000000,4,0.000011,1394.381502,16360,2045,0.000000
5,0.000005,3402.111864,16360,2045,0.000000,5,0.000011,1406.575638,16360,2045,0.000000
1,0.000006,2755.616882,16384,2048,0.000000,1,0.000011,1421.305789,16384,2048,0.000000
2,0.000006,2805.375000,16384,2048,0.000000,2,0.000011,1456.014169,16384,2048,0.000000
3,0.000006,2792.083777,16384,2048,0.000000,3,0.000011,1418.387826,16384,2048,0.000000
4,0.000006,2794.026565,16384,2048,0.000000,4,0.000011,1424.107808,16384,2048,0.000000
5,0.000005,3073.441046,16384,2048,0.000000,5,0.000011,1430.766977,16384,2048,0.000000
1,0.000005,2926.154334,16408,2051,0.000000,1,0.000011,1430.431599,16408,2051,0.000000
2,0.000004,3550.648903,16408,2051,0.000000,2,0.000011,1414.252966,16408,2051,0.000000
3,0.000005,3195.029255,16408,2051,0.000000,3,0.000011,1416.164115,16408,2051,0.000000
4,0.000005,3044.398445,16408,2051,0.000000,4,0.000011,1388.582803,16408,2051,0.000000
5,0.000006,2750.787253,16408,2051,0.000000,5,0.000011,1411.636939,16408,2051,0.000000
1,0.000005,4534.111868,24552,3069,0.000000,1,0.000011,2095.241561,24552,3069,0.000000
2,0.000005,4379.766187,24552,3069,0.000000,2,0.000011,2087.956949,24552,3069,0.000000
3,0.000006,4061.441955,24552,3069,0.000000,3,0.000011,2107.316276,24552,3069,0.000000
4,0.000006,4062.644927,24552,3069,0.000000,4,0.000012,2026.047468,24552,3069,0.000000
5,0.000005,4544.085100,24552,3069,0.000000,5,0.000012,2012.766239,24552,3069,0.000000
1,0.000005,4489.152016,24576,3072,0.000000,1,0.000011,2056.157165,24576,3072,0.000000
2,0.000006,4093.354802,24576,3072,0.000000,2,0.000011,2085.796465,24576,3072,0.000000
3,0.000005,4288.321014,24576,3072,0.000000,3,0.000012,2020.475234,24576,3072,0.000000
4,0.000005,4548.761099,24576,3072,0.000000,4,0.000011,2067.229612,24576,3072,0.000000
5,0.000005,4499.024578,24576,3072,0.000000,5,0.000011,2047.350943,24576,3072,0.000000
1,0.000005,4269.388759,24600,3075,0.000000,1,0.000011,2073.585894,24600,3075,0.000000
2,0.000006,4066.746991,24600,3075,0.000000,2,0.000011,2066.046354,24600,3075,0.000000
3,0.000006,4078.363756,24600,3075,0.000000,3,0.000011,2075.197356,24600,3075,0.000000
4,0.000005,5200.175058,24600,3075,0.000000,4,0.000011,2084.784505,24600,3075,0.000000
5,0.000006,4081.087189,24600,3075,0.000000,5,0.000011,2058.578293,24600,3075,0.000000
1,0.000006,5025.750442,32744,4093,0.000000,1,0.000011,2746.127364,32744,4093,0.000000
2,0.000006,5054.608040,32744,4093,0.000000,2,0.000012,2672.457164,32744,4093,0.000000
3,0.000005,5706.896300,32744,4093,0.000000,3,0.000012,2668.566461,32744,4093,0.000000
4,0.000006,5616.330045,32744,4093,0.000000,4,0.000012,2712.558530,32744,4093,0.000000
5,0.000005,6176.602152,32744,4093,0.000000,5,0.000012,2617.011124,32744,4093,0.000000
1,0.000006,5172.843932,32768,4096,0.000000,1,0.000011,2747.250000,32768,4096,0.000000
2,0.000006,5097.784179,32768,4096,0.000000,2,0.000011,2728.314946,32768,4096,0.000000
3,0.000006,4973.433080,32768,4096,0.000000,3,0.000011,2735.400061,32768,4096,0.000000
4,0.000006,4963.781053,32768,4096,0.000000,4,0.000012,2681.570924,32768,4096,0.000000
5,0.000005,6279.978360,32768,4096,0.000000,5,0.000012,2650.050832,32768,4096,0.000000
1,0.000005,5832.255834,32792,4099,0.000000,1,0.000011,2761.561139,32792,4099,0.000000
2,0.000005,6379.980397,32792,4099,0.000000,2,0.000012,2657.100652,32792,4099,0.000000
3,0.000005,6193.277316,32792,4099,0.000000,3,0.000012,2643.343250,32792,4099,0.000000
4,0.000005,6060.535435,32792,4099,0.000000,4,0.000012,2674.019602,32792,4099,0.000000
5,0.000005,5887.268492,32792,4099,0.000000,5,0.000011,2740.899488,32792,4099,0.000000
1,0.000007,7123.964615,49128,6141,0.000000,1,0.000012,3835.279439,49128,6141,0.000000
2,0.000006,7227.967713,49128,6141,0.000000,2,0.000012,3832.142486,49128,6141,0.000000
3,0.000006,7257.686460,49128,6141,0.000000,3,0.000012,3783.217405,49128,6141,0.000000
4,0.000006,7260.730987,49128,6141,0.000000,4,0.000012,3783.881133,49128,6141,0.000000
5,0.000007,7191.114238,49128,6141,0.000000,5,0.000012,3863.713532,49128,6141,0.000000
1,0.000006,7243.329276,49152,6144,0.000000,1,0.000012,3795.346158,49152,6144,0.000000
2,0.000007,6966.492935,49152,6144,0.000000,2,0.000012,3792.283385,49152,6144,0.000000
3,0.000006,7312.220054,49152,6144,0.000000,3,0.000012,3800.263358,49152,6144,0.000000
4,0.000006,7271.392398,49152,6144,0.000000,4,0.000012,3858.943288,49152,6144,0.000000
5,0.000007,7137.277515,49152,6144,0.000000,5,0.000012,3823.443348,49152,6144,0.000000
1,0.000007,7085.567835,49176,6147,0.000000,1,0.000012,3895.268728,49176,6147,0.000000
2,0.000006,7216.739648,49176,6147,0.000000,2,0.000012,3844.771595,49176,6147,0.000000
3,0.000007,6988.995199,49176,6147,0.000000,3,0.000012,3795.357778,49176,6147,0.000000
4,0.000006,7305.899553,49176,6147,0.000000,4,0.000012,3831.111210,49176,6147,0.000000
5,0.000007,7106.919165,49176,6147,0.000000,5,0.000012,3829.854003,49176,6147,0.000000
1,0.000007,9054.153029,65512,8189,0.000000,1,0.000013,4811.436389,65512,8189,0.000000
2,0.000007,8964.585987,65512,8189,0.000000,2,0.000013,4748.959217,65512,8189,0.000000
3,0.000007,8982.253476,65512,8189,0.000000,3,0.000013,4905.908192,65512,8189,0.000000
4,0.000007,8733.365806,65512,8189,0.000000,4,0.000013,4895.475983,65512,8189,0.000000
